V2_Q	V1_Q_n
0	1.200014
0.012	1.200016
0.024	1.200016
0.036000000000000004	1.200014
0.048	1.200014
0.060000000000000005	1.2000119999999999
0.072000000000000008	1.20001
0.084	1.200008
0.096	1.200014
0.108	1.200008
0.12000000000000001	1.200002
0.132	1.2000039999999999
0.14400000000000002	1.2
0.156	1.199992
0.168	1.199988
0.18000000000000002	1.1999739999999999
0.192	1.1999579999999999
0.20400000000000002	1.199934
0.216	1.199906
0.228	1.199854
0.24000000000000002	1.199792
0.252	1.1997039999999999
0.264	1.199578
0.276	1.199404
0.28800000000000003	1.1991619999999998
0.3	1.198828
0.312	1.198384
0.324	1.19779
0.336	1.1969779999999999
0.34800000000000003	1.195884
0.36000000000000004	1.194428
0.372	1.1925219999999999
0.384	1.19004
0.396	1.18682
0.40800000000000003	1.182674
0.42000000000000004	1.1772019999999999
0.432	1.170402
0.444	1.1622999999999999
0.456	1.1497
0.468	1.1333
0.48000000000000004	1.1104939999999999
0.49200000000000005	1.076216
0.504	1.026724
0.516	0.890434
0.528	0.80256399999999994
0.54	0.651704
0.552	0.60146
0.56400000000000006	0.568456
0.57600000000000007	0.542878
0.58800000000000008	0.52202399999999993
0.6	0.504348
0.612	0.48771
0.624	0.472304
0.636	0.458758
0.648	0.44496199999999997
0.66	0.432498
0.672	0.421002
0.684	0.409856
0.69600000000000006	0.39937799999999996
0.70800000000000007	0.389042
0.72000000000000008	0.37841199999999997
0.732	0.36868399999999996
0.744	0.359112
0.756	0.349976
0.768	0.34095
0.78	0.332592
0.792	0.324156
0.804	0.316194
0.81600000000000006	0.308452
0.82800000000000007	0.300778
0.84000000000000008	0.293472
0.85200000000000009	0.28656
0.864	0.279532
0.876	0.27300599999999997
0.888	0.26671
0.9	0.260506
0.912	0.254526
0.924	0.249354
0.936	0.244104
0.94800000000000006	0.23918599999999998
0.96000000000000008	0.234252
0.97200000000000009	0.229678
0.9840000000000001	0.22535
0.996	0.22122
1.008	0.217138
1.02	0.21369
1.032	0.210108
1.044	0.206758
1.056	0.203254
1.068	0.200312
1.08	0.197534
1.092	0.194516
1.104	0.19174
1.116	0.18903999999999999
1.1280000000000001	0.18648599999999999
1.1400000000000001	0.18414999999999998
1.1520000000000001	0.182104
1.1640000000000002	0.180176
1.1760000000000002	0.177998
1.1880000000000002	0.1759
1.2	0.174016
