V1_Q_n	V2_Q
0	1.200108
0.01	1.200108
0.02	1.20011
0.030000000000000002	1.200106
0.04	1.200108
0.05	1.200106
0.060000000000000005	1.200108
0.07	1.200108
0.08	1.2001119999999999
0.090000000000000011	1.200116
0.1	1.200108
0.11	1.200114
0.12000000000000001	1.2001119999999999
0.13	1.200108
0.14	1.200114
0.15	1.2001119999999999
0.16	1.2001119999999999
0.17	1.20011
0.18000000000000002	1.200106
0.19	1.200096
0.2	1.2000899999999999
0.21000000000000002	1.200084
0.22	1.2000659999999999
0.23	1.20004
0.24000000000000002	1.200014
0.25	1.199978
0.26	1.199926
0.27	1.199854
0.28	1.19977
0.29000000000000004	1.199654
0.3	1.1995
0.31	1.199304
0.32	1.199036
0.33	1.198696
0.34	1.1982599999999999
0.35000000000000003	1.197708
0.36000000000000004	1.196996
0.37	1.196116
0.38	1.195018
0.39	1.193646
0.4	1.1919359999999999
0.41000000000000003	1.189846
0.42000000000000004	1.18729
0.43	1.1841679999999999
0.44	1.180328
0.45	1.1757
0.46	1.169964
0.47000000000000003	1.163004
0.48000000000000004	1.15438
0.49000000000000005	1.143564
0.5	1.1297819999999998
0.51	1.111534
0.52	1.086088
0.53	1.047596
0.54	0.908972
0.55	0.756286
0.56	0.617918
0.57000000000000006	0.596706
0.58000000000000007	0.406502
0.59000000000000008	0.254524
0.6	0.165608
0.61	0.117244
0.62	0.08839799999999999
0.63	0.06926199999999999
0.64	0.055482
0.65	0.045051999999999995
0.66	0.036941999999999996
0.67	0.030543999999999998
0.68	0.025349999999999998
0.69000000000000006	0.021096
0.70000000000000007	0.017554
0.71000000000000008	0.014606
0.72000000000000008	0.012116
0.73	0.010043999999999999
0.74	0.008316
0.75	0.006866
0.76	0.005658
0.77	0.00465
0.78	0.003802
0.79	0.00311
0.8	0.002532
0.81	0.002052
0.82000000000000006	0.00166
0.83000000000000007	0.0013419999999999999
0.84000000000000008	0.001076
0.85000000000000009	0.000868
0.86	0.000694
0.87	0.000552
0.88	0.00043999999999999996
0.89	0.000348
0.9	0.00028
0.91	0.00021999999999999998
0.92	0.000174
0.93	0.000144
0.94000000000000006	0.000116
0.95000000000000007	9.6E-05
0.96000000000000008	8.2E-05
0.97000000000000008	6.8E-05
0.98000000000000009	5.9999999999999995E-05
0.9900000000000001	4.9999999999999996E-05
1	4.6E-05
1.01	3.9999999999999996E-05
1.02	3.9999999999999996E-05
1.03	3.6E-05
1.04	3.6E-05
1.05	3.4E-05
1.06	3.4E-05
1.07	3.6E-05
1.08	3.7999999999999995E-05
1.09	3.6E-05
1.1	3.9999999999999996E-05
1.11	3.7999999999999995E-05
1.12	3.7999999999999995E-05
1.1300000000000001	3.7999999999999995E-05
1.1400000000000001	3.4E-05
1.1500000000000001	3.6E-05
1.1600000000000001	3.7999999999999995E-05
1.1700000000000002	3.7999999999999995E-05
1.1800000000000002	3.6E-05
1.19	3.7999999999999995E-05
1.2	3.9999999999999996E-05
