V4_BL	V3_BL_n
1.2	0
1.1800000000000002	0
1.1600000000000001	0
1.1400000000000001	4E-06
1.12	2E-06
1.1	2E-06
1.08	4E-06
1.06	2E-06
1.04	2E-06
1.02	2E-06
1	0
0.98000000000000009	2E-06
0.96000000000000008	2E-06
0.94000000000000006	2E-06
0.92	2E-06
0.9	0
0.88	2E-06
0.86	-4E-06
0.84000000000000008	-6E-06
0.82000000000000006	-6E-06
0.8	-8E-06
0.78	-8E-06
0.76	-1.6E-05
0.74	-1.8E-05
0.72000000000000008	-2.4E-05
0.70000000000000007	-2.6E-05
0.68	-3.2E-05
0.66	-3.7999999999999995E-05
0.64	-4.8E-05
0.62	-5.6E-05
0.6	-5.9999999999999995E-05
0.58000000000000007	-7E-05
0.56	-8.2E-05
0.54	-8.9999999999999992E-05
0.52	-9.9999999999999991E-05
0.5	-0.00010999999999999999
0.48000000000000004	-0.00011999999999999999
0.46	-0.00013199999999999998
0.44	-0.000138
0.42000000000000004	-0.00014199999999999998
0.4	-0.000144
0.38	-0.000148
0.36000000000000004	-0.00014
0.34	-0.00010999999999999999
0.32	-4.6E-05
0.3	8E-06
0.28	0.000156
0.26	0.000346
0.24000000000000002	0.000794
0.22	0.0011899999999999999
0.2	0.001906
0.18000000000000002	0.003084
0.16	0.004144
0.14	0.005242
0.12000000000000001	0.006222
0.1	0.007338
0.08	0.0084
0.060000000000000005	0.009694
0.04	0.010894
0.02	0.011854
0	0.012626
