V4_BL	V3_BL_n
1.2	1.4E-05
1.1800000000000002	1.6E-05
1.1600000000000001	1.6E-05
1.1400000000000001	1.8E-05
1.12	1.8E-05
1.1	1.9999999999999998E-05
1.08	1.9999999999999998E-05
1.06	1.9999999999999998E-05
1.04	1.8E-05
1.02	1.8E-05
1	1.6E-05
0.98000000000000009	1.6E-05
0.96000000000000008	1.8E-05
0.94000000000000006	1.8E-05
0.92	1.6E-05
0.9	1.8E-05
0.88	1.8E-05
0.86	1.9999999999999998E-05
0.84000000000000008	1.9999999999999998E-05
0.82000000000000006	1.8E-05
0.8	1.9999999999999998E-05
0.78	1.8E-05
0.76	1.8E-05
0.74	1.8E-05
0.72000000000000008	1.2E-05
0.70000000000000007	1.4E-05
0.68	1.2E-05
0.66	8E-06
0.64	6E-06
0.62	-4E-06
0.6	-1.9999999999999998E-05
0.58000000000000007	-7.4E-05
0.56	-9.4E-05
0.54	-0.00010999999999999999
0.52	-0.000138
0.5	-0.00015999999999999999
0.48000000000000004	-0.000184
0.46	-0.00021799999999999999
0.44	-0.000258
0.42000000000000004	-0.00028199999999999997
0.4	-0.000326
0.38	-0.00035999999999999997
0.36000000000000004	-0.00035
0.34	-0.00032199999999999997
0.32	-0.00018999999999999998
0.3	0.000334
0.28	0.002118
0.26	0.01011
0.24000000000000002	1.101316
0.22	0.97617999999999994
0.2	0.976116
0.18000000000000002	0.97612599999999994
0.16	0.97603999999999991
0.14	0.975872
0.12000000000000001	0.975854
0.1	0.975752
0.08	0.975598
0.060000000000000005	0.975472
0.04	0.975362
0.02	0.975208
0	0.97514
