V2_Q	V1_Q_n
0	1.200022
0.01	1.200026
0.02	1.200024
0.030000000000000002	1.200022
0.04	1.2000199999999999
0.05	1.200014
0.060000000000000005	1.200016
0.07	1.200014
0.08	1.200018
0.090000000000000011	1.2000199999999999
0.1	1.200018
0.11	1.200014
0.12000000000000001	1.2000199999999999
0.13	1.20001
0.14	1.200014
0.15	1.200022
0.16	1.2000199999999999
0.17	1.2000119999999999
0.18000000000000002	1.20001
0.19	1.2000119999999999
0.2	1.20001
0.21000000000000002	1.200008
0.22	1.200002
0.23	1.199998
0.24000000000000002	1.19999
0.25	1.199972
0.26	1.19996
0.27	1.199936
0.28	1.199902
0.29000000000000004	1.19986
0.3	1.1998039999999999
0.31	1.19973
0.32	1.199624
0.33	1.199496
0.34	1.19932
0.35000000000000003	1.199088
0.36000000000000004	1.198778
0.37	1.198374
0.38	1.19786
0.39	1.197188
0.4	1.1963359999999998
0.41000000000000003	1.19526
0.42000000000000004	1.193894
0.43	1.192184
0.44	1.19005
0.45	1.187414
0.46	1.1841139999999999
0.47000000000000003	1.180076
0.48000000000000004	1.175068
0.49000000000000005	1.1689239999999999
0.5	1.161266
0.51	1.151656
0.52	1.1393499999999999
0.53	1.1228399999999998
0.54	1.100012
0.55	1.0644799999999999
0.56	0.948892
0.57000000000000006	0.764102
0.58000000000000007	0.63798199999999994
0.59000000000000008	0.586538
0.6	0.344558
0.61	0.203148
0.62	0.12603
0.63	0.088857999999999993
0.64	0.066606
0.65	0.05177
0.66	0.041139999999999996
0.67	0.033088
0.68	0.02685
0.69000000000000006	0.02188
0.70000000000000007	0.017828
0.71000000000000008	0.014584
0.72000000000000008	0.011897999999999999
0.73	0.009689999999999999
0.74	0.007868
0.75	0.006352
0.76	0.005116
0.77	0.004088
0.78	0.00325
0.79	0.0025
0.8	0.001956
0.81	0.001522
0.82000000000000006	0.001176
0.83000000000000007	0.00090199999999999992
0.84000000000000008	0.00068399999999999993
0.85000000000000009	0.000518
0.86	0.000388
0.87	0.00028399999999999996
0.88	0.00020999999999999998
0.89	0.000158
0.9	0.00010999999999999999
0.91	7.8E-05
0.92	5.6E-05
0.93	3.6E-05
0.94000000000000006	2.2E-05
0.95000000000000007	1.4E-05
0.96000000000000008	9.9999999999999991E-06
0.97000000000000008	0
0.98000000000000009	0
0.9900000000000001	-2E-06
1	-8E-06
1.01	-4E-06
1.02	-8E-06
1.03	-9.9999999999999991E-06
1.04	-8E-06
1.05	-8E-06
1.06	-6E-06
1.07	-8E-06
1.08	-8E-06
1.09	-8E-06
1.1	-8E-06
1.11	-6E-06
1.12	-4E-06
1.1300000000000001	-8E-06
1.1400000000000001	-8E-06
1.1500000000000001	-6E-06
1.1600000000000001	-6E-06
1.1700000000000002	-1.2E-05
1.1800000000000002	-6E-06
1.19	-6E-06
1.2	-8E-06
