V2_Q	V1_Q_n
0	1.200026
0.01	1.200026
0.02	1.200024
0.030000000000000002	1.200022
0.04	1.200024
0.05	1.200024
0.060000000000000005	1.200022
0.07	1.200024
0.08	1.200026
0.090000000000000011	1.2000199999999999
0.1	1.2000199999999999
0.11	1.200022
0.12000000000000001	1.200022
0.13	1.200022
0.14	1.200022
0.15	1.2000199999999999
0.16	1.200018
0.17	1.200014
0.18000000000000002	1.2000119999999999
0.19	1.200016
0.2	1.200008
0.21000000000000002	1.20001
0.22	1.2
0.23	1.200002
0.24000000000000002	1.199994
0.25	1.1999819999999999
0.26	1.199972
0.27	1.199954
0.28	1.19993
0.29000000000000004	1.1998959999999999
0.3	1.199854
0.31	1.199798
0.32	1.199722
0.33	1.1996179999999999
0.34	1.199474
0.35000000000000003	1.1992859999999999
0.36000000000000004	1.199044
0.37	1.198716
0.38	1.198278
0.39	1.197702
0.4	1.196966
0.41000000000000003	1.196002
0.42000000000000004	1.194734
0.43	1.193118
0.44	1.191042
0.45	1.188404
0.46	1.1850079999999998
0.47000000000000003	1.18068
0.48000000000000004	1.175206
0.49000000000000005	1.1681979999999999
0.5	1.1590559999999999
0.51	1.146944
0.52	1.130298
0.53	1.105796
0.54	1.0642
0.55	0.859356
0.56	0.672348
0.57000000000000006	0.609126
0.58000000000000007	0.377286
0.59000000000000008	0.22369
0.6	0.133736
0.61	0.089976
0.62	0.065307999999999991
0.63	0.049474
0.64	0.038168
0.65	0.030185999999999998
0.66	0.023864
0.67	0.019004
0.68	0.015177999999999999
0.69000000000000006	0.012102
0.70000000000000007	0.009604
0.71000000000000008	0.0076139999999999992
0.72000000000000008	0.006022
0.73	0.0047399999999999994
0.74	0.003722
0.75	0.0029059999999999997
0.76	0.002254
0.77	0.00174
0.78	0.001336
0.79	0.001018
0.8	0.000772
0.81	0.00058199999999999994
0.82000000000000006	0.00043599999999999997
0.83000000000000007	0.00032399999999999996
0.84000000000000008	0.000244
0.85000000000000009	0.000176
0.86	0.000126
0.87	8.9999999999999992E-05
0.88	6.2E-05
0.89	4.6E-05
0.9	2.9999999999999997E-05
0.91	1.8E-05
0.92	9.9999999999999991E-06
0.93	2E-06
0.94000000000000006	-2E-06
0.95000000000000007	-2E-06
0.96000000000000008	0
0.97000000000000008	-6E-06
0.98000000000000009	-4E-06
0.9900000000000001	-6E-06
1	-8E-06
1.01	-8E-06
1.02	-8E-06
1.03	-8E-06
1.04	-8E-06
1.05	-1.2E-05
1.06	-1.2E-05
1.07	-1.2E-05
1.08	-8E-06
1.09	-8E-06
1.1	-8E-06
1.11	-8E-06
1.12	-9.9999999999999991E-06
1.1300000000000001	-6E-06
1.1400000000000001	-6E-06
1.1500000000000001	-6E-06
1.1600000000000001	-6E-06
1.1700000000000002	-6E-06
1.1800000000000002	-8E-06
1.19	-4E-06
1.2	-6E-06
