structure,die_x,die_y,measurement_id,mode,issue,q_count,qn_count,q_file,qn_file,file
SP00,2,3,30,read,non_positive_lobe_gap,,,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Q\sp00_SP_SNMreadSwp_Q\SP SNMread sweep Q [pq57601w8_sp00 _ 2 3  (30) ; 11.03.2026 15_11_10].csv,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Qn\sp00_SP_SNMreadSwp_Qn\SP SNMread sweep Qn [pq57601w8_sp00 _ 2 3  (30) ; 11.03.2026 15_28_03].csv,
SP00,5,2,1,hold,missing_or_duplicate_sweep,1,0,,,
SP00,5,4,4,hold,missing_or_duplicate_sweep,1,0,,,
SP00,5,6,7,hold,missing_or_duplicate_sweep,1,0,,,
SP00,6,2,3,read,non_positive_lobe_gap,,,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Q\sp00_SP_SNMreadSwp_Q\SP SNMread sweep Q [pq57601w8_sp00 _ 6 2  (3) ; 11.03.2026 15_07_07].csv,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Qn\sp00_SP_SNMreadSwp_Qn\SP SNMread sweep Qn [pq57601w8_sp00 _ 6 2  (3) ; 11.03.2026 15_23_54].csv,
SP00,7,2,4,read,non_positive_lobe_gap,,,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Q\sp00_SP_SNMreadSwp_Q\SP SNMread sweep Q [pq57601w8_sp00 _ 7 2  (4) ; 11.03.2026 15_07_16].csv,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Qn\sp00_SP_SNMreadSwp_Qn\SP SNMread sweep Qn [pq57601w8_sp00 _ 7 2  (4) ; 11.03.2026 15_24_03].csv,
SP00,8,4,1,hold,missing_or_duplicate_sweep,1,0,,,
SP00,8,6,69,read,non_positive_lobe_gap,,,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Q\sp00_SP_SNMreadSwp_Q\SP SNMread sweep Q [pq57601w8_sp00 _ 8 6  (69) ; 11.03.2026 15_17_05].csv,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Qn\sp00_SP_SNMreadSwp_Qn\SP SNMread sweep Qn [pq57601w8_sp00 _ 8 6  (69) ; 11.03.2026 15_34_03].csv,
SP00,10,2,2,hold,missing_or_duplicate_sweep,1,0,,,
SP00,10,2,7,read,non_positive_lobe_gap,,,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Q\sp00_SP_SNMreadSwp_Q\SP SNMread sweep Q [pq57601w8_sp00 _ 10 2  (7) ; 11.03.2026 15_07_43].csv,E:\IHP_POSTprocess\SNM\SP00\pq57601w8_sp00_SP_SNMreadSwp_Qn\sp00_SP_SNMreadSwp_Qn\SP SNMread sweep Qn [pq57601w8_sp00 _ 10 2  (7) ; 11.03.2026 15_24_32].csv,
