V4_BL	V3_BL_n
1.2	-4E-06
1.1800000000000002	-2E-06
1.1600000000000001	0
1.1400000000000001	-2E-06
1.12	-2E-06
1.1	0
1.08	0
1.06	0
1.04	0
1.02	-2E-06
1	-2E-06
0.98000000000000009	0
0.96000000000000008	-6E-06
0.94000000000000006	-2E-06
0.92	-2E-06
0.9	-6E-06
0.88	-6E-06
0.86	-2E-06
0.84000000000000008	-6E-06
0.82000000000000006	-2E-06
0.8	-2E-06
0.78	0
0.76	4E-06
0.74	2E-06
0.72000000000000008	2E-06
0.70000000000000007	4E-06
0.68	2E-06
0.66	0
0.64	2E-06
0.62	0
0.6	-2E-06
0.58000000000000007	0
0.56	0
0.54	0
0.52	0
0.5	0
0.48000000000000004	0
0.46	0
0.44	4E-06
0.42000000000000004	2.2E-05
0.4	9.4E-05
0.38	0.000512
0.36000000000000004	0.002604
0.34	0.013158
0.32	1.036266
0.3	0.943124
0.28	0.94313399999999992
0.26	0.943094
0.24000000000000002	0.94312599999999991
0.22	0.943152
0.2	0.943224
0.18000000000000002	0.94328
0.16	0.94307199999999991
0.14	0.943174
0.12000000000000001	0.94309199999999993
0.1	0.943108
0.08	0.943108
0.060000000000000005	0.94314199999999992
0.04	0.94309599999999993
0.02	0.943162
0	0.94307999999999992
