V3_BL_n	V4_BL
1.2	-1.8E-05
1.1800000000000002	-1.4E-05
1.1600000000000001	-1.4E-05
1.1400000000000001	-1.6E-05
1.12	-1.6E-05
1.1	-1.8E-05
1.08	-1.8E-05
1.06	-1.8E-05
1.04	-1.6E-05
1.02	-1.8E-05
1	-1.8E-05
0.98000000000000009	-1.6E-05
0.96000000000000008	-1.4E-05
0.94000000000000006	-1.4E-05
0.92	-1.8E-05
0.9	-1.8E-05
0.88	-1.8E-05
0.86	-1.8E-05
0.84000000000000008	-1.4E-05
0.82000000000000006	-1.8E-05
0.8	-1.6E-05
0.78	-1.6E-05
0.76	-1.4E-05
0.74	-1.4E-05
0.72000000000000008	-1.8E-05
0.70000000000000007	-1.6E-05
0.68	-1.8E-05
0.66	-1.6E-05
0.64	-1.6E-05
0.62	-1.4E-05
0.6	-1.6E-05
0.58000000000000007	-1.6E-05
0.56	-6E-06
0.54	-1.2E-05
0.52	-9.9999999999999991E-06
0.5	-9.9999999999999991E-06
0.48000000000000004	-1.2E-05
0.46	-8E-06
0.44	-1.4E-05
0.42000000000000004	-1.4E-05
0.4	-1.6E-05
0.38	-2.2E-05
0.36000000000000004	-2.8E-05
0.34	-2.8E-05
0.32	-2.4E-05
0.3	-6E-06
0.28	0.000186
0.26	0.0017599999999999999
0.24000000000000002	1.139438
0.22	0.93617
0.2	0.936168
0.18000000000000002	0.93621
0.16	0.936248
0.14	0.93613799999999991
0.12000000000000001	0.93614599999999992
0.1	0.93619999999999992
0.08	0.93607599999999991
0.060000000000000005	0.936344
0.04	0.93630399999999991
0.02	0.93694
0	0.937446
