structure,sp_index,die_x,die_y,measurement_id,step,issue,status,wtp_v,y_min,y_max,points,header,folder,file_name,file
SP02,2,15,4,118,9&10,already_high,already_high,,1.200032,1.200126,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 15 4    _Subsite_2__Subsite_  (118) ; 6_17_2026 4_00_55 PM].csv,E:\IHP_POSTprocess\WTP\SP02\step_9&10 [PQ57601w11_SP _ 15 4    _Subsite_2__Subsite_  (118) ; 6_17_2026 4_00_55 PM].csv
SP11,11,10,4,104,5&6,no_flip_low,no_flip_low,,0.004,0.004318,61,V4_BL|V3_BL_n,,step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_11__Subsite_  (104) ; 6_17_2026 3_57_02 PM].csv,E:\IHP_POSTprocess\WTP\SP11\step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_11__Subsite_  (104) ; 6_17_2026 3_57_02 PM].csv
SP12,12,10,4,105,9&10,no_flip_low,no_flip_low,,-1.4e-05,0.54775,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_12__Subsite_  (105) ; 6_17_2026 3_57_23 PM].csv,E:\IHP_POSTprocess\WTP\SP12\step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_12__Subsite_  (105) ; 6_17_2026 3_57_23 PM].csv
SP13,13,10,4,106,5&6,no_flip_low,no_flip_low,,0.10232,0.354558,61,V4_BL|V3_BL_n,,step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_13__Subsite_  (106) ; 6_17_2026 3_57_34 PM].csv,E:\IHP_POSTprocess\WTP\SP13\step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_13__Subsite_  (106) ; 6_17_2026 3_57_34 PM].csv
SP13,13,10,4,106,9&10,no_flip_low,no_flip_low,,0.001562,0.0016359999999999999,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_13__Subsite_  (106) ; 6_17_2026 3_57_39 PM].csv,E:\IHP_POSTprocess\WTP\SP13\step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_13__Subsite_  (106) ; 6_17_2026 3_57_39 PM].csv
SP14,14,10,4,107,5&6,no_flip_low,no_flip_low,,0.12397599999999999,0.13361,61,V4_BL|V3_BL_n,,step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_14__Subsite_  (107) ; 6_17_2026 3_57_50 PM].csv,E:\IHP_POSTprocess\WTP\SP14\step_5&6 [PQ57601w11_SP _ 10 4    _Subsite_14__Subsite_  (107) ; 6_17_2026 3_57_50 PM].csv
SP14,14,10,4,107,9&10,no_flip_low,no_flip_low,,0.002732,0.0029879999999999998,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_14__Subsite_  (107) ; 6_17_2026 3_57_55 PM].csv,E:\IHP_POSTprocess\WTP\SP14\step_9&10 [PQ57601w11_SP _ 10 4    _Subsite_14__Subsite_  (107) ; 6_17_2026 3_57_55 PM].csv
SP18,18,10,7,203,5&6,no_flip_low,no_flip_low,,0.013202,0.023989999999999997,61,V4_BL|V3_BL_n,,step_5&6 [PQ57601w11_SP _ 10 7    _Subsite_18__Subsite_  (203) ; 6_17_2026 4_23_48 PM].csv,E:\IHP_POSTprocess\WTP\SP18\step_5&6 [PQ57601w11_SP _ 10 7    _Subsite_18__Subsite_  (203) ; 6_17_2026 4_23_48 PM].csv
SP18,18,10,7,203,9&10,no_flip_low,no_flip_low,,0.117486,0.131066,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 10 7    _Subsite_18__Subsite_  (203) ; 6_17_2026 4_23_52 PM].csv,E:\IHP_POSTprocess\WTP\SP18\step_9&10 [PQ57601w11_SP _ 10 7    _Subsite_18__Subsite_  (203) ; 6_17_2026 4_23_52 PM].csv
SP22,22,5,6,161,5&6,no_flip_low,no_flip_low,,-1.6e-05,0.074408,61,V4_BL|V3_BL_n,,step_5&6 [PQ57601w11_SP _ 5 6    _Subsite_22__Subsite_  (161) ; 6_17_2026 4_12_27 PM].csv,E:\IHP_POSTprocess\WTP\SP22\step_5&6 [PQ57601w11_SP _ 5 6    _Subsite_22__Subsite_  (161) ; 6_17_2026 4_12_27 PM].csv
SP22,22,5,6,161,9&10,already_high,already_high,,0.897152,0.9083,61,V3_BL_n|V4_BL,,step_9&10 [PQ57601w11_SP _ 5 6    _Subsite_22__Subsite_  (161) ; 6_17_2026 4_12_32 PM].csv,E:\IHP_POSTprocess\WTP\SP22\step_9&10 [PQ57601w11_SP _ 5 6    _Subsite_22__Subsite_  (161) ; 6_17_2026 4_12_32 PM].csv
